depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
40.0,12.9,33.46,5.8,96.7,5.8,5.9,0.59,40,0.72,0.3,25.221,274.8,0.112,0.08,0.04
58.0,11.29,33.563,4.52,72.9,13.1,15.4,0.11,58,1.26,0.13,25.606,238.5,0.158,0.0,0.03
0.0,14.74,33.237,5.93,102.6,1.7,0.0,0.38,0,0.33,0.12,24.67,326.2,0.0,0.01,0.06
2.0,14.74,33.237,5.93,102.6,1.7,0.0,0.38,2,0.33,0.12,24.67,326.3,0.007,0.01,0.06
10.0,14.73,33.238,5.91,102.2,1.6,0.0,0.39,10,0.54,0.12,24.673,326.2,0.033,0.18,0.06
11.0,14.73,33.237,5.91,102.2,1.6,0.0,0.39,11,0.56,0.12,24.672,326.3,0.036,0.2,0.06
20.0,14.71,33.238,5.92,102.3,1.7,0.0,0.41,20,0.38,0.13,24.678,326.1,0.065,0.01,0.06
27.0,14.56,33.222,5.93,102.2,1.6,0.0,0.48,27,0.39,0.16,24.697,324.4,0.088,0.03,0.06
30.0,14.59,33.234,5.93,102.3,1.6,0.0,0.47,30,0.38,0.17,24.7,324.2,0.098,0.03,0.05
38.0,14.59,33.238,5.91,101.9,1.6,0.1,0.46,38,0.37,0.18,24.704,324.1,0.124,0.03,0.04
50.0,14.42,33.224,5.86,100.7,1.6,0.3,0.36,50,0.39,0.17,24.729,322.0,0.162,0.13,0.03
51.0,14.41,33.224,5.85,100.5,1.6,0.4,0.34,51,0.39,0.16,24.731,321.8,0.166,0.14,0.03
73.0,12.37,33.341,4.9,80.7,7.7,10.7,0.16,73,0.91,0.15,25.233,274.5,0.233,0.01,0.02
0.0,13.2,33.464,5.7,95.7,7.0,5.3,1.95,0,0.72,0.64,25.164,279.2,0.0,0.44,0.09
1.0,13.2,33.464,5.7,95.7,7.0,5.3,1.95,1,0.72,0.64,25.164,279.2,0.003,0.44,0.09
7.0,13.06,33.47,5.61,93.9,7.4,5.7,1.62,7,0.75,0.74,25.197,276.2,0.019,0.53,0.18
10.0,13.03,33.471,5.59,93.5,7.4,5.7,1.48,10,0.75,0.73,25.203,275.7,0.028,0.56,0.17
16.0,13.02,33.472,5.56,93.0,7.5,5.8,1.31,16,0.76,0.71,25.206,275.6,0.044,0.6,0.12
20.0,13.01,33.471,5.55,92.8,7.6,5.9,1.31,20,0.76,0.72,25.208,275.6,0.055,0.59,0.12
23.0,13.01,33.475,5.54,92.6,7.6,6.0,1.31,23,0.76,0.73,25.211,275.3,0.064,0.58,0.12
30.0,13.02,33.471,5.55,92.8,7.7,5.9,1.38,30,0.78,0.76,25.206,276.0,0.083,0.59,0.11
31.0,13.01,33.471,5.55,92.8,7.7,5.9,1.38,31,0.78,0.76,25.208,275.8,0.086,0.59,0.11
