depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium
42.0,12.06,32.805,6.18,100.8,3.9,2.4,0.57,42,0.52,0.22,24.875,307.7,0.134,0.09
50.0,11.99,32.813,6.14,100.0,4.1,3.0,0.45,50,0.57,0.2,24.895,306.0,0.158,0.14
57.0,11.91,32.822,6.12,99.6,4.3,3.3,0.39,57,0.59,0.2,24.917,304.1,0.18,0.16
70.0,11.7,32.846,6.01,97.3,5.0,4.3,0.24,70,0.65,0.15,24.974,298.9,0.219,0.13
75.0,11.54,32.87,5.97,96.4,5.3,4.9,0.22,75,0.69,0.14,25.022,294.4,0.234,0.08
81.0,11.33,32.893,5.93,95.3,5.9,5.6,0.19,81,0.73,0.13,25.078,289.2,0.251,0.06
90.0,11.36,33.066,6.16,99.2,7.7,6.2,0.43,90,0.75,0.23,25.208,277.1,0.277,0.21
100.0,10.7,33.092,5.82,92.4,8.8,8.6,0.2,100,0.89,0.17,25.345,264.2,0.304,0.06
120.0,10.13,33.472,4.13,64.9,17.3,19.3,0.03,121,1.54,0.05,25.74,227.0,0.353,0.01
125.0,10.08,33.566,3.9,61.3,18.9,20.7,0.02,126,1.62,0.04,25.822,219.4,0.364,0.01
139.0,9.44,33.711,3.48,53.9,22.6,23.3,0.01,140,1.76,0.03,26.041,198.7,0.393,0.0
150.0,9.18,33.74,3.3,50.9,24.6,24.5,0.0,151,1.82,0.03,26.106,192.7,0.415,0.0
169.0,8.93,33.887,3.04,46.6,27.8,25.9,0.0,170,1.92,0.02,26.261,178.3,0.45,0.0
199.0,8.55,33.999,2.25,34.2,34.5,29.6,0.0,200,2.21,0.04,26.408,164.8,0.501,0.0
0.0,14.14,33.077,5.93,101.2,2.0,0.2,0.32,0,0.34,0.11,24.673,325.9,0.0,0.01
2.0,14.14,33.077,5.93,101.2,2.0,0.2,0.32,2,0.34,0.11,24.673,326.0,0.007,0.01
10.0,14.13,33.075,5.93,101.2,1.9,0.2,0.32,10,0.34,0.1,24.674,326.1,0.033,0.0
20.0,13.94,33.075,5.98,101.7,2.0,0.2,0.4,20,0.35,0.13,24.714,322.6,0.065,0.01
30.0,13.79,33.061,6.01,101.9,2.0,0.2,0.47,30,0.35,0.16,24.734,321.0,0.097,0.02
40.0,13.76,33.061,5.98,101.3,2.0,0.3,0.43,40,0.35,0.16,24.74,320.6,0.129,0.03
50.0,13.75,33.059,6.0,101.6,1.9,0.3,0.43,50,0.35,0.16,24.741,320.8,0.161,0.04
60.0,13.75,33.063,5.98,101.3,2.0,0.2,0.42,60,0.35,0.16,24.744,320.8,0.193,0.04
69.0,13.75,33.062,5.96,100.9,1.9,0.2,0.41,69,0.35,0.15,24.744,321.1,0.222,0.04
75.0,13.74,33.058,5.96,100.9,1.9,0.2,0.39,75,0.35,0.15,24.743,321.3,0.242,0.04
84.0,13.73,33.062,5.96,100.9,1.9,0.2,0.33,84,0.36,0.14,24.748,321.1,0.271,0.05
